Event Category,City,Total Events
"Yes, I have heard of fake news",Chicago,926
"Yes, I have heard of fake news",(not set),797
"Yes, I have heard of fake news",Dallas,702
"Yes, I'm good at spotting fake news",Chicago,581
"Yes, I have heard of fake news",New York,569
Ignore it,Chicago,527
"Yes, I'm good at spotting fake news",(not set),497
Ignore it,(not set),470
"Yes, I'm good at spotting fake news",Dallas,457
"Yes, I have heard of fake news",Atlanta,442
Ignore it,Dallas,377
"Yes, I'm good at spotting fake news",New York,348
"Yes, I have heard of fake news",Los Angeles,343
"Yes, I have heard of fake news",Detroit,332
"Yes, I have heard of fake news",Washington,331
Ignore it,New York,311
"No, I'm bad at spotting fake news",Chicago,298
"No, I'm bad at spotting fake news",(not set),290
"Yes, I have heard of fake news",Houston,289
"Yes, I have heard of fake news",San Francisco,282
"Yes, I'm good at spotting fake news",Atlanta,279
"Yes, I have heard of fake news",Denver,254
Call them out,Chicago,232
Ignore it,Atlanta,228
"Yes, I'm good at spotting fake news",Los Angeles,224
Call them out,(not set),220
"Yes, I'm good at spotting fake news",Washington,219
"No, I'm bad at spotting fake news",Dallas,217
Call them out,Dallas,216
"Yes, I have heard of fake news",Seattle,215
"Yes, I'm good at spotting fake news",Detroit,209
"Yes, I'm good at spotting fake news",San Francisco,198
"No, I'm bad at spotting fake news",New York,196
"Yes, I'm good at spotting fake news",Houston,196
"Yes, I have heard of fake news",Omaha,195
"Yes, I have heard of fake news",Minneapolis,194
Ignore it,Detroit,184
"No, I have not heard of fake news",(not set),184
"No, I have not heard of fake news",Chicago,183
Ignore it,Washington,178
"Yes, I have heard of fake news",Nashville,178
"Yes, I'm good at spotting fake news",Denver,176
"Yes, I have heard of fake news",Portland,175
Ignore it,Denver,166
Ignore it,Los Angeles,163
"Yes, I have heard of fake news",Ann Arbor,161
Call them out,New York,158
Ignore it,San Francisco,152
"Yes, I have heard of fake news",St. Louis,152
"Yes, I have heard of fake news",Phoenix,150
"No, I'm bad at spotting fake news",Atlanta,148
"Yes, I'm good at spotting fake news",Seattle,147
"No, I have not heard of fake news",Dallas,145
Ignore it,Houston,143
"Yes, I have heard of fake news",Albuquerque,142
Call them out,Atlanta,137
"Yes, I have heard of fake news",Indianapolis,130
"Yes, I have heard of fake news",Philadelphia,130
"Yes, I have heard of fake news",Boston,129
Ignore it,Seattle,123
Call them out,Los Angeles,122
"No, I believe most news articles are false",Chicago,121
"No, I have not heard of fake news",New York,120
"Yes, I have heard of fake news",Charlotte,117
"Yes, I have heard of fake news",San Antonio,116
"Yes, I'm good at spotting fake news",Minneapolis,116
"Yes, I'm good at spotting fake news",Nashville,116
"Yes, I have heard of fake news",Colorado Springs,114
"No, I believe most news articles are false",(not set),112
"Yes, I'm good at spotting fake news",Omaha,111
"No, I'm bad at spotting fake news",Detroit,110
"Yes, I'm good at spotting fake news",Ann Arbor,110
Ignore it,Minneapolis,108
"No, I have not heard of fake news",Atlanta,108
"No, I'm bad at spotting fake news",Los Angeles,108
"No, I'm bad at spotting fake news",Washington,108
Call them out,Washington,107
"Yes, I have heard of fake news",Austin,107
"Yes, I have heard of fake news",Salt Lake City,107
"Yes, I have heard of fake news",Madison,107
